Id_Estado,Id_Tienda
AGUASCALIENTES,0t
AGUASCALIENTES,1t
AGUASCALIENTES,2t
AGUASCALIENTES,3t
AGUASCALIENTES,4t
AGUASCALIENTES,5t
AGUASCALIENTES,6t
AGUASCALIENTES,7t
AGUASCALIENTES,8t
AGUASCALIENTES,9t
AGUASCALIENTES,10t
AGUASCALIENTES,11t
AGUASCALIENTES,12t
AGUASCALIENTES,13t
AGUASCALIENTES,14t
AGUASCALIENTES,15t
AGUASCALIENTES,16t
QUERETARO,16t
AGUASCALIENTES,17t
MEXICO,17t
AGUASCALIENTES,18t
AGUASCALIENTES,19t
AGUASCALIENTES,20t
AGUASCALIENTES,21t
CAMPECHE,21t
DISTRITO FEDERAL,21t
CHIHUAHUA,21t
MEXICO,21t
QUERETARO,21t
GUANAJUATO,21t
DURANGO,21t
SAN LUIS POTOSI,21t
VERACRUZ,21t
AGUASCALIENTES,22t
AGUASCALIENTES,23t
AGUASCALIENTES,24t
AGUASCALIENTES,25t
AGUASCALIENTES,26t
BAJA CALIFORNIA,26t
CHIHUAHUA,26t
AGUASCALIENTES,27t
COAHUILA DE ZARAGOZA,27t
MEXICO,27t
TLAXCALA,27t
AGUASCALIENTES,28t
AGUASCALIENTES,29t
AGUASCALIENTES,30t
AGUASCALIENTES,31t
AGUASCALIENTES,32t
AGUASCALIENTES,33t
AGUASCALIENTES,34t
AGUASCALIENTES,35t
AGUASCALIENTES,36t
AGUASCALIENTES,37t
AGUASCALIENTES,38t
AGUASCALIENTES,39t
AGUASCALIENTES,40t
AGUASCALIENTES,41t
AGUASCALIENTES,42t
AGUASCALIENTES,43t
AGUASCALIENTES,44t
AGUASCALIENTES,45t
AGUASCALIENTES,46t
AGUASCALIENTES,47t
AGUASCALIENTES,48t
AGUASCALIENTES,49t
AGUASCALIENTES,50t
AGUASCALIENTES,51t
AGUASCALIENTES,52t
AGUASCALIENTES,53t
AGUASCALIENTES,54t
AGUASCALIENTES,55t
AGUASCALIENTES,56t
AGUASCALIENTES,57t
AGUASCALIENTES,58t
AGUASCALIENTES,59t
AGUASCALIENTES,60t
