Nombre_Tienda,Id_Tienda
JULIO CEPEDA JUGUETERIAS S.A. DE C.V.,0t
C&A DE MEXICO S. DE R.L.,1t
ASFEIXAS  S.A. DE C.V.,2t
MOTEL VILLA MIRO- MIRO HOTELERIA  S.A. DE C.V.,3t
MOTEL LUA- COMPAÑIA HOTELERA PESCADORES  S.A. DE C.V.,4t
MOTEL PEDRA- PEDRA  S.A. DE C.V.,5t
CANDY STREET- CLAUDIA STEPHANIE MORA GARCIA,6t
VICKY BOUTIQUE- ROCIO ESPARZA ORTIZ,7t
MOTEL CASTILLO-CIA. HOTELERA FENTOS  S. A. DE C. V.,8t
MOTEL LOS ARCOS S.A. DE C.V.,9t
RESTAURANTE LOS ARCOS- MARIS BAJA  S.A. DE C.V.,10t
EL ALMACEN DEL BIFE- SI NO HAY PARA TODOS NO HAY PARA NADIE  S.A. DE C.V.,11t
ANTIGUA HACIENDA LA NORIA- HECTOR FLORES AGUILAR,12t
VIRREY BUFFETS S.A. DE C.V.,13t
LA VENUSTIANA BAR- MULTISERVICIOS SAN MARCOS  S. DE R.L. DE C.V.,14t
THE GREAT WOODSTOCK- ALBERTO LOPEZ REED,15t
CADENA COMERCIAL OXXO  S. A. DE C.V.,16t
FARMACIA GUADALAJARA  S. A. DE C. V.,17t
ABARROTES - JOSE ALVARO NUÑEZ GUZMAN,18t
SUPERAMA-NUEVA WAL MART DE MEXICO  S. DE R. L. DE C. V.,19t
SAMS CLUB- NUEVA WAL MART DE MEXICO  S DE RL DE CV,20t
CADENA COMERCIAL OXXO SA DE CV,21t
CADENA COMERCIAL OXXO SA DE CV   (COLON),22t
CADENA COMERCIAL OXXO SA DE CV  (MORELOS),23t
LA BOMBILLA VINOS SA DE CV,24t
TIENDAS EXTRA S.A DE C.V,25t
FARMACIAS BENAVIDES S.A.B. DE C.V.,26t
CADENA COMERCIAL OXXO  S. A. DE C. V.,27t
BODEGA AURRERA EXPRESS -  NUEVA WAL MART DE MEXICO S. DE R.L. DE C.V.,28t
COMERCIALIZADORA FARMACEUTICA DE CHIAPAS SAPI DE CV / FARMACIAS DEL AHORRO,29t
DEL SOL-GRUPO COMERCIAL CONTROL  S. A. DE C. V.,30t
SEARS OPERADORA DE MEXICO  S. A. DE C. V.,31t
DISTRIBUIDORA LIVERPOOL  SA DE CV,32t
LA SANTA - GRUPO ANTROMEX DE OCCIDENTE,33t
EL DIVINO - OH PRODUCTIONS S.A. DE C.V.,34t
HARD,35t
SANTISIMA- AROB  S.A. DE C.V.,36t
LAS COSTILLAS DE SANCHO - CUENTA EMPRESARIAL S.A. DE C.V.,37t
LA MANSION - RICHYCARLS S.A. DE C.V.,38t
RUIDOSO - PEYC CONSTRUCCIONES S.A. DE C.V.,39t
LA MAJADA-ILIANA RODRIGUEZ GARCIA,40t
LA GARUFA REST. ARGENTINO - GASTRONOMIA AG  S. A. DE C. V.,41t
EL COSTEÑITO - CANGREJITO PLAYERO S.A. DE C.V.,42t
SAN PANCHO - HUGO SANDOVAL RUVALCABA,43t
MANDALA - GRUPO ANTROMEX DE OCCIDENTE,44t
MOJITO ROYAL - OPERADORA DE SERVICIOS INTEGRALES EH DIVERSION S.A. DE C.V.,45t
CIELITO LINDO- MARIA DEL SOCORRO JIMENEZ GARCIA,46t
