Id_Producto,Id_Tienda,INCUMPLIMIENTO
0p,0t,NO SE DETECTO INCUMPLIMIENTO
0p,823t,NO SE DETECTO INCUMPLIMIENTO
0p,3867t,No cumple  con ninguno de los puntos de la norma
0p,3892t,NO SE DETECTO INCUMPLIMIENTO
25p,3892t,NO SE DETECTO INCUMPLIMIENTO
0p,428t,NO SE DETECTO INCUMPLIMIENTO
1p,428t,NO SE DETECTO INCUMPLIMIENTO
3p,428t,NO SE DETECTO INCUMPLIMIENTO
4p,428t,NO SE DETECTO INCUMPLIMIENTO
9p,428t,NO SE DETECTO INCUMPLIMIENTO
25p,428t,NO SE DETECTO INCUMPLIMIENTO
26p,428t,NO SE DETECTO INCUMPLIMIENTO
28p,428t,NO SE DETECTO INCUMPLIMIENTO
36p,428t,NO SE DETECTO INCUMPLIMIENTO
38p,428t,NO SE DETECTO INCUMPLIMIENTO
38p,428t,Carece de la  cantidad numerica que indique  la ley del metal
41p,428t,NO SE DETECTO INCUMPLIMIENTO
43p,428t,NO SE DETECTO INCUMPLIMIENTO
54p,428t,NO SE DETECTO INCUMPLIMIENTO
56p,428t,NO SE DETECTO INCUMPLIMIENTO
58p,428t,NO SE DETECTO INCUMPLIMIENTO
61p,428t,NO SE DETECTO INCUMPLIMIENTO
63p,428t,Carece de las caracteristicas electricas nominales de alimentacion del producto
63p,428t,NO SE DETECTO INCUMPLIMIENTO
67p,428t,NO SE DETECTO INCUMPLIMIENTO
72p,428t,NO SE DETECTO INCUMPLIMIENTO
77p,428t,NO SE DETECTO INCUMPLIMIENTO
78p,428t,NO SE DETECTO INCUMPLIMIENTO
79p,428t,NO SE DETECTO INCUMPLIMIENTO
83p,428t,NO SE DETECTO INCUMPLIMIENTO
92p,428t,NO SE DETECTO INCUMPLIMIENTO
120p,428t,NO SE DETECTO INCUMPLIMIENTO
178p,428t,NO SE DETECTO INCUMPLIMIENTO
206p,428t,NO SE DETECTO INCUMPLIMIENTO
262p,428t,NO SE DETECTO INCUMPLIMIENTO
0p,4427t,NO SE DETECTO INCUMPLIMIENTO
1p,4427t,NO SE DETECTO INCUMPLIMIENTO
3p,4427t,NO SE DETECTO INCUMPLIMIENTO
4p,4427t,NO SE DETECTO INCUMPLIMIENTO
6p,4427t,NO SE DETECTO INCUMPLIMIENTO
13p,4427t,NO SE DETECTO INCUMPLIMIENTO
18p,4427t,NO SE DETECTO INCUMPLIMIENTO
24p,4427t,NO SE DETECTO INCUMPLIMIENTO
25p,4427t,NO SE DETECTO INCUMPLIMIENTO
61p,4427t,NO SE DETECTO INCUMPLIMIENTO
109p,4427t,NO SE DETECTO INCUMPLIMIENTO
122p,4427t,NO SE DETECTO INCUMPLIMIENTO
126p,4427t,NO SE DETECTO INCUMPLIMIENTO
142p,4427t,NO SE DETECTO INCUMPLIMIENTO
0p,4429t,NO SE DETECTO INCUMPLIMIENTO
19p,4429t,NO SE DETECTO INCUMPLIMIENTO
25p,4429t,NO SE DETECTO INCUMPLIMIENTO
84p,4429t,NO SE DETECTO INCUMPLIMIENTO
156p,4429t,NO SE DETECTO INCUMPLIMIENTO
0p,4539t,NO SE DETECTO INCUMPLIMIENTO
261p,4539t,NO SE DETECTO INCUMPLIMIENTO
0p,4444t,NO SE DETECTO INCUMPLIMIENTO
25p,4444t,NO SE DETECTO INCUMPLIMIENTO
34p,4444t,NO SE DETECTO INCUMPLIMIENTO
38p,4444t,NO SE DETECTO INCUMPLIMIENTO
54p,4444t,NO SE DETECTO INCUMPLIMIENTO
56p,4444t,NO SE DETECTO INCUMPLIMIENTO
59p,4444t,NO SE DETECTO INCUMPLIMIENTO
72p,4444t,NO SE DETECTO INCUMPLIMIENTO
83p,4444t,NO SE DETECTO INCUMPLIMIENTO
139p,4444t,NO SE DETECTO INCUMPLIMIENTO
206p,4444t,NO SE DETECTO INCUMPLIMIENTO
264p,4444t,NO SE DETECTO INCUMPLIMIENTO
0p,4506t,NO SE DETECTO INCUMPLIMIENTO
25p,4506t,NO SE DETECTO INCUMPLIMIENTO
109p,4506t,NO SE DETECTO INCUMPLIMIENTO
122p,4506t,NO SE DETECTO INCUMPLIMIENTO
129p,4506t,NO SE DETECTO INCUMPLIMIENTO
0p,748t,NO SE DETECTO INCUMPLIMIENTO
3p,748t,NO SE DETECTO INCUMPLIMIENTO
4p,748t,NO SE DETECTO INCUMPLIMIENTO
5p,748t,NO SE DETECTO INCUMPLIMIENTO
6p,748t,NO SE DETECTO INCUMPLIMIENTO
13p,748t,NO SE DETECTO INCUMPLIMIENTO
15p,748t,NO SE DETECTO INCUMPLIMIENTO
19p,748t,NO SE DETECTO INCUMPLIMIENTO
21p,748t,toma de muestras
21p,748t,"El producto declara ""Natural"" en la lista de ingredientes incumplimiendo el numeral 9"
22p,748t,NO SE DETECTO INCUMPLIMIENTO
24p,748t,NO SE DETECTO INCUMPLIMIENTO
25p,748t,NO SE DETECTO INCUMPLIMIENTO
26p,748t,NOM-001-SCFI-(IDENTIF.)-/CARECE DE NOMBRE DEL FABRICANTE  MARCA REGISTRADA O AMBOS.
26p,748t,NO SE DETECTO INCUMPLIMIENTO
31p,748t,NO SE DETECTO INCUMPLIMIENTO
40p,748t,NO SE DETECTO INCUMPLIMIENTO
41p,748t,NO SE DETECTO INCUMPLIMIENTO
43p,748t,NO SE DETECTO INCUMPLIMIENTO
46p,748t,NO SE DETECTO INCUMPLIMIENTO
55p,748t,NO SE DETECTO INCUMPLIMIENTO
56p,748t,NO SE DETECTO INCUMPLIMIENTO
61p,748t,NO SE DETECTO INCUMPLIMIENTO
66p,748t,NO SE DETECTO INCUMPLIMIENTO
76p,748t,NO SE DETECTO INCUMPLIMIENTO
79p,748t,NO SE DETECTO INCUMPLIMIENTO
89p,748t,NO SE DETECTO INCUMPLIMIENTO
92p,748t,Carece de la evaluacion conforme a la eficiencia energetica.
93p,748t,NO SE DETECTO INCUMPLIMIENTO
98p,748t,NO SE DETECTO INCUMPLIMIENTO
101p,748t,NO SE DETECTO INCUMPLIMIENTO
117p,748t,NO SE DETECTO INCUMPLIMIENTO
118p,748t,NO SE DETECTO INCUMPLIMIENTO
122p,748t,NO SE DETECTO INCUMPLIMIENTO
123p,748t,NO SE DETECTO INCUMPLIMIENTO
129p,748t,NO SE DETECTO INCUMPLIMIENTO
130p,748t,NO SE DETECTO INCUMPLIMIENTO
143p,748t,NO SE DETECTO INCUMPLIMIENTO
158p,748t,NO SE DETECTO INCUMPLIMIENTO
167p,748t,NO SE DETECTO INCUMPLIMIENTO
209p,748t,NO SE DETECTO INCUMPLIMIENTO
216p,748t,NO SE DETECTO INCUMPLIMIENTO
223p,748t,NO SE DETECTO INCUMPLIMIENTO
230p,748t,NO SE DETECTO INCUMPLIMIENTO
233p,748t,No indica veracidad de la informacion comercial
233p,748t,toma de muestras
236p,748t,NO SE DETECTO INCUMPLIMIENTO
0p,4523t,NO SE DETECTO INCUMPLIMIENTO
24p,4523t,NO SE DETECTO INCUMPLIMIENTO
56p,4523t,NO SE DETECTO INCUMPLIMIENTO
89p,4523t,NO SE DETECTO INCUMPLIMIENTO
121p,4523t,NO SE DETECTO INCUMPLIMIENTO
155p,4523t,NO SE DETECTO INCUMPLIMIENTO
0p,5261t,NO SE DETECTO INCUMPLIMIENTO
25p,5261t,NO SE DETECTO INCUMPLIMIENTO
0p,5451t,NO SE DETECTO INCUMPLIMIENTO
0p,6733t,NO SE DETECTO INCUMPLIMIENTO
25p,6733t,NO SE DETECTO INCUMPLIMIENTO
0p,7087t,NO SE DETECTO INCUMPLIMIENTO
25p,7087t,NO SE DETECTO INCUMPLIMIENTO
0p,8421t,NO SE DETECTO INCUMPLIMIENTO
0p,8422t,NO SE DETECTO INCUMPLIMIENTO
0p,10041t,NO SE DETECTO INCUMPLIMIENTO
25p,10041t,NO SE DETECTO INCUMPLIMIENTO
70p,10041t,NO SE DETECTO INCUMPLIMIENTO
173p,10041t,NO SE DETECTO INCUMPLIMIENTO
0p,10043t,NO SE DETECTO INCUMPLIMIENTO
25p,10043t,NO SE DETECTO INCUMPLIMIENTO
0p,10044t,NO SE DETECTO INCUMPLIMIENTO
9p,10044t,NO SE DETECTO INCUMPLIMIENTO
25p,10044t,NO SE DETECTO INCUMPLIMIENTO
28p,10044t,NO SE DETECTO INCUMPLIMIENTO
41p,10044t,NO SE DETECTO INCUMPLIMIENTO
0p,10263t,NO SE DETECTO INCUMPLIMIENTO
1p,1t,NO SE DETECTO INCUMPLIMIENTO
1p,618t,NO SE DETECTO INCUMPLIMIENTO
4p,618t,NO SE DETECTO INCUMPLIMIENTO
54p,618t,NO SE DETECTO INCUMPLIMIENTO
1p,807t,NO SE DETECTO INCUMPLIMIENTO
3p,807t,NO SE DETECTO INCUMPLIMIENTO
54p,807t,NO SE DETECTO INCUMPLIMIENTO
56p,807t,NO SE DETECTO INCUMPLIMIENTO
1p,888t,NO SE DETECTO INCUMPLIMIENTO
1p,846t,NO SE DETECTO INCUMPLIMIENTO
4p,846t,NO SE DETECTO INCUMPLIMIENTO
54p,846t,NO SE DETECTO INCUMPLIMIENTO
1p,891t,NO SE DETECTO INCUMPLIMIENTO
3p,891t,NO SE DETECTO INCUMPLIMIENTO
1p,907t,NO SE DETECTO INCUMPLIMIENTO
4p,907t,NO SE DETECTO INCUMPLIMIENTO
54p,907t,NO SE DETECTO INCUMPLIMIENTO
61p,907t,NO SE DETECTO INCUMPLIMIENTO
1p,1058t,NO SE DETECTO INCUMPLIMIENTO
3p,1058t,NO SE DETECTO INCUMPLIMIENTO
1p,1175t,NO SE DETECTO INCUMPLIMIENTO
1p,1176t,NO SE DETECTO INCUMPLIMIENTO
1p,1235t,NO SE DETECTO INCUMPLIMIENTO
61p,1235t,NO SE DETECTO INCUMPLIMIENTO
91p,1235t,NO SE DETECTO INCUMPLIMIENTO
1p,1241t,NO SE DETECTO INCUMPLIMIENTO
61p,1241t,NO SE DETECTO INCUMPLIMIENTO
1p,1243t,NO SE DETECTO INCUMPLIMIENTO
54p,1243t,NO SE DETECTO INCUMPLIMIENTO
61p,1243t,NO SE DETECTO INCUMPLIMIENTO
1p,1245t,NO SE DETECTO INCUMPLIMIENTO
61p,1245t,NO SE DETECTO INCUMPLIMIENTO
1p,1247t,NO SE DETECTO INCUMPLIMIENTO
61p,1247t,NO SE DETECTO INCUMPLIMIENTO
1p,1260t,NO SE DETECTO INCUMPLIMIENTO
61p,1260t,NO SE DETECTO INCUMPLIMIENTO
